0,-0.0022833
0.005,0.0022267
0.01,0.0011133
0.015,0.0011133
0.02,-0.0011511
0.025,-1.887e-05
0.03,-1.887e-05
0.035,-1.887e-05
0.04,-1.887e-05
0.045,-1.887e-05
0.05,0.0011133
0.055,0.0011133
0.06,-0.0011511
0.065,-1.887e-05
0.07,-0.0011511
0.075,-1.887e-05
0.08,0.0011133
0.085,-0.0011511
0.09,0.0011133
0.095,0.0011133
0.1,-0.0011511
0.105,-1.887e-05
0.11,0.0011133
0.115,-0.0022833
0.12,-1.887e-05
0.125,0.0022267
0.13,0.0011133
0.135,-1.887e-05
0.14,-1.887e-05
0.145,0.0011133
0.15,0.0011133
0.155,-1.887e-05
0.16,-1.887e-05
0.165,-1.887e-05
0.17,-0.0022833
0.175,-1.887e-05
0.18,0.0022267
0.185,-1.887e-05
0.19,0.0022267
0.195,0.0011133
0.2,0.0011133
0.205,0.0011133
0.21,-1.887e-05
0.215,-0.0011511
0.22,-0.0022833
0.225,0.0011133
0.23,-1.887e-05
0.235,0.0011133
0.24,0.0011133
0.245,0.0011133
0.25,-1.887e-05
0.255,-0.0011511
0.26,-1.887e-05
0.265,0.0011133
0.27,-1.887e-05
0.275,-1.887e-05
0.28,-0.0022833
0.285,0.0011133
0.29,-1.887e-05
0.295,0.0022267
0.3,-1.887e-05
0.305,-1.887e-05
0.31,0.0011133
0.315,0.0011133
0.32,-0.0011511
0.325,-0.0011511
0.33,-1.887e-05
0.335,0.0011133
0.34,-0.0011511
0.345,0.0011133
0.35,-0.0011511
0.355,-1.887e-05
0.36,0.0011133
0.365,-1.887e-05
0.37,-1.887e-05
0.375,0.0011133
0.38,0.0011133
0.385,0.0011133
0.39,0.0033589
0.395,0.0011133
0.4,-0.0022833
0.405,-0.0011511
0.41,-0.0011511
0.415,-0.0011511
0.42,-1.887e-05
0.425,-1.887e-05
0.43,-1.887e-05
0.435,-1.887e-05
0.44,0.0011133
0.445,-1.887e-05
0.45,-0.0034155
0.455,-1.887e-05
0.46,0.0011133
0.465,0.0011133
0.47,-1.887e-05
0.475,-0.0022833
0.48,0.0011133
0.485,0.0011133
0.49,0.0011133
0.495,-1.887e-05
0.5,0.0011133
0.505,-1.887e-05
0.51,-0.0011511
0.515,0.0011133
0.52,0.0011133
0.525,-0.0011511
0.53,0.0011133
0.535,0.0011133
0.54,-0.0011511
0.545,0.0022267
0.55,-1.887e-05
0.555,-0.0011511
0.56,0.0011133
0.565,-0.0011511
0.57,-1.887e-05
0.575,-1.887e-05
0.58,-1.887e-05
0.585,-0.0011511
0.59,0.0022267
0.595,0.0011133
0.6,0.0011133
0.605,-0.0022833
