0.00 	2.175
0.10 	2.140
0.20 	2.123
0.30 	2.112
0.40 	2.111
0.50 	2.111
0.60 	2.111
0.70 	2.111
0.80 	2.111
0.90 	2.111
1.00 	2.053
1.10 	1.905
1.20 	1.778
1.30 	1.666
1.40 	1.567
1.50 	1.480
1.60 	1.401
1.70 	1.319
1.80 	1.246
1.90 	1.180
2.00 	1.121
2.10 	1.068
2.20 	1.019
2.30 	0.975
2.40 	0.934
2.50 	0.897
2.60 	0.862
2.70 	0.830
2.80 	0.801
2.90 	0.773
3.00 	0.747
3.10 	0.723
3.20 	0.701
3.30 	0.679
3.40 	0.659
3.50 	0.641
3.60 	0.623
3.70 	0.606
3.80 	0.590
3.90 	0.575
4.00 	0.561
4.10 	0.561
4.20 	0.561
4.30 	0.561
4.40 	0.561
4.50 	0.561
4.60 	0.561
4.70 	0.561
4.80 	0.561
4.90 	0.561
5.00 	0.561
